Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
80041C,674,670,Souvet,Louis,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2008-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2008-09-30 00:00:00.0
80041C,61,61,Souvet,Louis,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
000330,1380,1640,Spenale,Georges,SOC,"Groupe Socialiste, Écologiste et Républicain",,1983-08-20 00:00:00.0,Membre,,1983-08-20 00:00:00.0
000287,1381,1641,Splingard,Raymond,SOC,"Groupe Socialiste, Écologiste et Républicain",,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
20084G,3128,3543,Stanzione,Lucien,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20084G,3222,3637,Stanzione,Lucien,SOC,"Groupe Socialiste, Écologiste et Républicain",2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
000499,1382,1642,Stoessel,Charles,RPCD,Républicains Populaires et du Centre Démocratique,,1966-10-14 00:00:00.0,Membre,,1966-10-14 00:00:00.0
01028R,535,534,Sueur,Jean-Pierre,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01028R,625,621,Sueur,Jean-Pierre,SOC,"Groupe Socialiste, Écologiste et Républicain",2001-10-02 00:00:00.0,,Membre,2001-10-02 00:00:00.0,
000120,1383,1643,Suran,Charles,SOC,"Groupe Socialiste, Écologiste et Républicain",,1971-08-01 00:00:00.0,Membre,,1971-08-01 00:00:00.0
98035U,353,356,Sutour,Simon,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98035U,401,409,Sutour,Simon,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2020-09-30 00:00:00.0,Membre,1998-10-05 00:00:00.0,2020-09-30 00:00:00.0
000692,1553,1813,Symphor,Paul,SOC,"Groupe Socialiste, Écologiste et Républicain",,1968-03-27 00:00:00.0,Membre,,1968-03-27 00:00:00.0
20136B,3159,3574,Tabarot,Philippe,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20136B,3206,3621,Tabarot,Philippe,UMP,Groupe Les Républicains,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
000095,1384,1644,Tailhades,Edgar,SOC,"Groupe Socialiste, Écologiste et Républicain",,1986-06-23 00:00:00.0,Membre,,1986-06-23 00:00:00.0
19689Q,2792,3186,Taillé-Polian,Sophie,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19689Q,2919,3317,Taillé-Polian,Sophie,SOC,"Groupe Socialiste, Écologiste et Républicain",2017-10-03 00:00:00.0,2020-10-04 00:00:00.0,Membre,2017-10-03 00:00:00.0,2020-10-04 00:00:00.0
19689Q,3250,3665,Taillé-Polian,Sophie,GEST,Groupe Écologiste - Solidarité et Territoires,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
59560U,1385,1645,Taittinger,Pierre-Christian,RI,Groupe des RI,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
000592,1386,1646,Tajan,Pierre,GDSRG,Formation des Sénateurs Radicaux de Gauche,,1984-03-20 00:00:00.0,Membre,,1984-03-20 00:00:00.0
000302,1387,1647,Talamoni,Louis,C,Communistes,,1975-04-30 00:00:00.0,Membre,,1975-04-30 00:00:00.0
58508L,1614,1874,Talon,Bernard,RPR,Groupe du RPR,,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
11094U,2171,2445,Tandonnet,Henri,UC,Groupe Union Centriste,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
58950B,1615,1875,Tarcy,Raymond,SOC,"Groupe Socialiste, Écologiste et Républicain",,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
80043E,8,8,Tardy,Fernand,SOC,"Groupe Socialiste, Écologiste et Républicain",,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
04056J,1791,2055,Tasca,Catherine,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04056J,1688,1950,Tasca,Catherine,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,2017-10-01 00:00:00.0,Vice-Président,2004-10-05 00:00:00.0,2011-09-30 00:00:00.0
04056J,1688,2613,Tasca,Catherine,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
89009R,72,72,Taugourdeau,Martial,RPR,Groupe du RPR,,2001-10-14 00:00:00.0,Membre,,2001-10-14 00:00:00.0
000717,1554,1814,Tellier,Gabriel,CRARS,Centre Républicain d'Action Rurale et Sociale,,1965-10-01 00:00:00.0,Membre,,1965-10-01 00:00:00.0
19669L,2764,3158,Temal,Rachid,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19669L,2920,3318,Temal,Rachid,SOC,"Groupe Socialiste, Écologiste et Républicain",2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
97005J,1873,2151,Terrade,Odette,CRC,Groupe CRCE,2007-09-19 00:00:00.0,2011-09-30 00:00:00.0,Membre,2007-09-19 00:00:00.0,2011-09-30 00:00:00.0
97005J,268,268,Terrade,Odette,CRC,Groupe CRCE,,2004-09-30 00:00:00.0,Membre,,2004-09-30 00:00:00.0
000006,1388,1648,Terre,Henri,UREI,Union des Républicains et des Indépendants,,1978-10-13 00:00:00.0,Membre,,1978-10-13 00:00:00.0
98037W,356,359,Teston,Michel,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98037W,402,410,Teston,Michel,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2014-09-30 00:00:00.0,Membre,1998-10-05 00:00:00.0,2014-09-30 00:00:00.0
14275Y,2640,2993,Tetuanui,Lana,NI,Réunion administrative des non-inscrits,2015-05-04 00:00:00.0,2015-05-11 00:00:00.0,Membre,2015-05-04 00:00:00.0,2015-05-11 00:00:00.0
14275Y,2642,2995,Tetuanui,Lana,UC,Groupe Union Centriste,2015-05-12 00:00:00.0,,Membre,2015-05-12 00:00:00.0,
08046Y,2061,2332,Teulade,René,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2014-02-13 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-02-13 00:00:00.0
03002P,1627,1890,Texier,Yannick,NI,Réunion administrative des non-inscrits,2003-08-29 00:00:00.0,2003-09-03 00:00:00.0,Membre,2003-08-29 00:00:00.0,2003-09-03 00:00:00.0
03002P,1628,1891,Texier,Yannick,UMP,Groupe Les Républicains,2003-09-04 00:00:00.0,2008-09-30 00:00:00.0,Membre,2003-09-04 00:00:00.0,2008-09-30 00:00:00.0
19301E,2842,3236,Théophile,Dominique,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19301E,2890,3286,Théophile,Dominique,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
000118,1389,1649,Thiebault,Roger,SOC,"Groupe Socialiste, Écologiste et Républicain",,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
000674,1555,1815,Thioleron,Louis,CRARS,Centre Républicain d'Action Rurale et Sociale,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
01039U,546,545,Thiollière,Michel,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
